Output,Width,Offset,Success
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,34.375,-7.03125,False
'choose:',e6fa891f004da81d214eb1b265e0277d,34.375,-5.078125,True
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,34.375,-3.125,False
'choose:',e6fa891f004da81d214eb1b265e0277d,34.375,-1.171875,True
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,34.375,0.78125,False
'choose:',e6fa891f004da81d214eb1b265e0277d,34.375,2.734375,True
'choose:',e6fa891f004da81d214eb1b265e0277d,34.375,4.6875,True
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,34.375,6.640625,False
'choose:',e6fa891f004da81d214eb1b265e0277d,34.375,8.59375,True
'choose:',e6fa891f004da81d214eb1b265e0277d,34.375,10.546875,True
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,34.765625,-10.9375,False
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,34.765625,-8.984375,False
'\xa6choose:',182e575ba4447558270497660058c759,34.765625,-7.03125,True
'choose:',e6fa891f004da81d214eb1b265e0277d,34.765625,-5.078125,True
'choose:',e6fa891f004da81d214eb1b265e0277d,34.765625,-3.125,True
'choose:',e6fa891f004da81d214eb1b265e0277d,34.765625,-1.171875,True
'choose:',e6fa891f004da81d214eb1b265e0277d,34.765625,0.78125,True
'choose:',e6fa891f004da81d214eb1b265e0277d,34.765625,2.734375,True
'choose:',e6fa891f004da81d214eb1b265e0277d,34.765625,4.6875,True
'choose:',e6fa891f004da81d214eb1b265e0277d,34.765625,6.640625,True
'choose:',e6fa891f004da81d214eb1b265e0277d,34.765625,8.59375,True
'choose:',e6fa891f004da81d214eb1b265e0277d,34.765625,10.546875,True
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,35.15625,-10.9375,False
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,35.15625,-8.984375,False
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,35.15625,-7.03125,False
'choose:',e6fa891f004da81d214eb1b265e0277d,35.15625,-5.078125,True
'choose:',e6fa891f004da81d214eb1b265e0277d,35.15625,-3.125,True
'choose:',e6fa891f004da81d214eb1b265e0277d,35.15625,-1.171875,True
'choose:',e6fa891f004da81d214eb1b265e0277d,35.15625,0.78125,True
'choose:',e6fa891f004da81d214eb1b265e0277d,35.15625,2.734375,True
