Output,Hash,Ext. Offset,Offset,Width,Repeat,Success
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,0,6.640625,32.03125,55,False
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,0,8.59375,32.03125,55,False
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,0,10.546875,32.03125,55,False
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,0,-10.9375,33.203125,55,False
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,0,-8.984375,33.203125,55,False
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,0,-7.03125,33.203125,55,False
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,0,-5.078125,33.203125,55,False
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,0,-3.125,33.203125,55,False
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,0,-1.171875,33.203125,55,False
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,0,0.78125,33.203125,55,False
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,0,2.734375,33.203125,55,False
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,0,4.6875,33.203125,55,False
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,0,6.640625,33.203125,55,False
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,0,8.59375,33.203125,55,False
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,0,10.546875,33.203125,55,False
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,0,-10.9375,34.375,55,False
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,0,-8.984375,34.375,55,False
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,0,-7.03125,34.375,55,False
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,0,-5.078125,34.375,55,False
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,0,-3.125,34.375,55,False
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,0,-1.171875,34.375,55,False
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,0,0.78125,34.375,55,False
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,0,2.734375,34.375,55,False
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,0,4.6875,34.375,55,False
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,0,6.640625,34.375,55,False
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,0,8.59375,34.375,55,False
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,0,10.546875,34.375,55,False
