Output,Width,Offset,Success
'250048 500 500\n250048 500 500\n',8ddd46ad666d91999d4be69fccd3d0e2,34.375,-19.921875,True
'choose:',e6fa891f004da81d214eb1b265e0277d,34.375,-19.921875,True
'fail!\n250000 500 500\n250000 500 ',21e98ead3155cae24792aca32dea12d7,34.375,-19.921875,True
'fail!\n250000 500 500\n250000 500 ',21e98ead3155cae24792aca32dea12d7,34.375,-19.921875,True
'fail!\n250000 500 500\n250000 500 ',21e98ead3155cae24792aca32dea12d7,34.375,-19.921875,True
'fail!\n250000 500 500\n250000 500 ',21e98ead3155cae24792aca32dea12d7,34.375,-19.921875,True
'fail!\n250000 500 500\n250000 500 ',21e98ead3155cae24792aca32dea12d7,34.375,-19.921875,True
'fail!\n250000 500 500\n250000 500 ',21e98ead3155cae24792aca32dea12d7,34.375,-19.921875,True
'fail!\n250000 500 500\n250000 500 ',21e98ead3155cae24792aca32dea12d7,34.375,-19.921875,True
'fail!\n250000 500 500\n250000 500 ',21e98ead3155cae24792aca32dea12d7,34.375,-19.921875,True
'fail!\n250000 500 500\n250000 500 ',21e98ead3155cae24792aca32dea12d7,34.375,-19.921875,True
'fail!\n250000 500 500\n250000 500 ',21e98ead3155cae24792aca32dea12d7,34.375,-19.921875,True
'fail!\n250000 500 500\n250000 500 ',21e98ead3155cae24792aca32dea12d7,34.375,-19.921875,True
'\x10\n250000 500 500\n250000 500 500\n',da9f4d5bc36ea064fc3b0e1bd6a18a42,34.765625,-19.921875,True
'fail!\n250000 500 500\n250000 500 ',21e98ead3155cae24792aca32dea12d7,34.765625,-19.921875,True
'\x10\n250000 500 500\n250000 500 500\n',da9f4d5bc36ea064fc3b0e1bd6a18a42,34.765625,-19.921875,True
'winner!\n250000 500 500\n250000 50',2fbf2de87d1d7e8a32373e46f0eedb9e,34.765625,-19.921875,True
'fail!\n250000 500 500\n250000 500 ',21e98ead3155cae24792aca32dea12d7,34.765625,-19.921875,True
'\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff',0d7dc4266497100e4831f5b31b6b274f,34.765625,-19.921875,True
'\x10\n250000 500 500\n250000 500 500\n',da9f4d5bc36ea064fc3b0e1bd6a18a42,34.765625,-19.921875,True
'250000 500 500\n250000 500 500\n',c0e013abce58f70f74d1077026a0225c,34.765625,-19.921875,True
'choose:',e6fa891f004da81d214eb1b265e0277d,34.765625,-19.921875,True
'fail!\n250000 500 500\n250000 500 ',21e98ead3155cae24792aca32dea12d7,34.765625,-19.921875,True
'fail!\n250000 500 500\n250000 500 ',21e98ead3155cae24792aca32dea12d7,34.765625,-19.921875,True
'fail!\n250000 500 500\n250000 500 ',21e98ead3155cae24792aca32dea12d7,34.765625,-19.921875,True
'fail!\n250000 500 500\n250000 500 ',21e98ead3155cae24792aca32dea12d7,34.765625,-19.921875,True
'fail!\n250000 500 500\n250000 500 ',21e98ead3155cae24792aca32dea12d7,34.765625,-19.921875,True
'fail!\n250000 500 500\n250000 500 ',21e98ead3155cae24792aca32dea12d7,34.765625,-19.921875,True
'fail!\n250000 500 500\n250000 500 ',21e98ead3155cae24792aca32dea12d7,34.765625,-19.921875,True
'fail!\n250000 500 500\n250000 500 ',21e98ead3155cae24792aca32dea12d7,34.765625,-19.921875,True
'fail!\n250000 500 500\n250000 500 ',21e98ead3155cae24792aca32dea12d7,34.765625,-19.921875,True
'fail!\n250000 500 500\n250000 500 ',21e98ead3155cae24792aca32dea12d7,34.765625,-19.921875,True
'fail!\n250000 500 500\n250000 500 ',21e98ead3155cae24792aca32dea12d7,34.765625,-19.921875,True
